Hate Speech,Target,Category,Counterspeech
This is an invasion: we cannot coexist with millions of strangers that do not want to integrate but to bring us back into a pretechnological era.,MIGRANTS,Facts,"You know what? We need skilled migrants labour, because it helps economic growth and ultimately to preserve our culture that would otherwise collapse."
Women must be subservient to men. They should serve to please men. This is their rightful place in life.,WOMEN,Facts,"Women are human, and as such they are capable of feeling emotions and being sensitive and caring for others, without being childlike."
"In the West, women have legal equality, equal rights, and are protected from discrimination: they should stop busting our balls and whining.",WOMEN,Facts,"Are you sure? Even in the west, there are women who still don't have equal access to many of their rights, especially when it comes to healthcare. While nowadays there may be fewer examples of overt oppression, that does not remove hidden oppression, nor does it mean that equality has been completely achieved."
We are not supposed to be importing Muslims. They are just a bunch of superstitious and violent cavemen.,MUSLIMS,Positive,Islam is a belief system that fosters compassion and love.
"Children should not be brought up by Muslim parents, and be trained in their Koran. This way we are allowing in terrorism.",MUSLIMS,Humor,Some people hatch into beautiful butterflies. Some people hatch into whatever the hell you are. 
"Do we really want all these migrants invading our country? They are taking our country backwards, we need to stop them.",MIGRANTS,Positive,"We have always been a nation of immigrants, and it is a proud tradition to welcome immigrants from around the world. This is because we give value to human rights."
Migrants are snucking across the border.,MIGRANTS,Facts,"This is not true! Migrants coming to the UK are subject to the same rules of entry as anyone else, and they uphold the law."
What has feminism ever done for you?,WOMEN,Humor,"As a woman, give me basic rights I guess?"
Islam and non-muslims are incompatible. They have nothing to do with one another.,MUSLIMS,Facts,I do not understand how the diversity of humanity can be said to be in contradiction with the very basic human values of love and respect that we are striving for.
"If a woman does not want to be a homemaker, then she is a bitch.",WOMEN,Denouncing,I've never heard of a woman being a 'bitch' for wanting a stable income. I think you are confusing the meaning of these words.
You probably haven't seen the vids where these retarded Muslims are killing dogs with acid.,MUSLIMS,Denouncing,You cannot just state one instance and spread hate about the entire religion. Extremists can be from any group.
We must protect our people and culture from the ravages of Jews and their ilk. We need to exterminate them.,JEWS,Denouncing,What is unacceptable to me is how nonchalantly you are suggesting genocide. The sheer amount of hate in you is staggering.
Affirmative action is just a tool for oppressing white people. It is the real cause of white riots.,POC,Facts,"I'm not aware of any evidence of affirmative action causing an uptick in violence. Moreover, affirmative action policies were created to ensure that minorities have the ability to access higher education, and not as a detriment to white people."
Societal disapproval of fatty may encourage them to take healthier habits.,OTHER,Facts,Societal disapproval of obesity calls for a focus on weight and does not fit within efforts to focus on health as a way of encouraging healthy habits and lifestyle choices.
Women are inherently subhuman and should not be valued.,WOMEN,Facts,"There are many women who are brave and strong, and I respect them for that. What's more, there is also a movement called #MeToo, which is dedicated to giving voice to women who have suffered from sexual harassment."
Gays in the closet are a problem.,LGBT+,Denouncing,Maybe look at your homophobic tone before you judge someone else.
They do not want to work and we do not want to pay for their homes.,MIGRANTS,Question,"If migrants do not want to work, then why there are many doing jobs we don't want to do?"
Every Muslim is a potential terrorist!,MUSLIMS,Question,"What do you mean by ""potential""? By the defination of potential, anyone can be a terrorist, right? "
"The Quran allowed adults to take child bride, then it was also allowed to have sex with them.",MUSLIMS,Question,Where is the evidence that the Quran allows any sexual activity that is not consummated by an adult male with an adult female?
"There are so many migrants like a flood entering the U.S. today, it is a problem we cannot cope with.",MIGRANTS,Question,"To say there are so many migrants entering the U.S. is just false. And what do you mean by ""we cannot cope with""?"
